"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"SW3";"SW_PUSH_6mm_h5mm";1;"RESET";;;
2;"GPIO16";"Pin_Header_Straight_1x01_Pitch2.54mm";1;"GPIO16";;;
3;"TX/RX";"Pin_Header_Straight_2x01_Pitch2.54mm";1;"RX/TX";;;
4;"G***";"LOGO_NEW";1;"LOGO";;;
5;"RV1";"Trimpot_3.8mmx3.6mm_TC33X-2-103E";1;"BACKLIGHT";;;
6;"D6,D5,D3,D4";"LED_0603";4;"LED";;;
7;"C1,C2,C4";"C_0603_HandSoldering";3;"10uF";;;
8;"C3,C5";"C_0603_HandSoldering";2;"100nF";;;
9;"D1";"LED_0603_HandSoldering";1;"CHARGING";;;
10;"D2";"LED_0603_HandSoldering";1;"CHARGED";;;
11;"J1";"USB_Micro-B_Wuerth-629105150521";1;"Micro_USB";;;
12;"J2";"JST_ZE_SM02B-ZESS-TB_02x1.5mm_Angled";1;"JST_CHARGE";;;
13;"R1,R5";"R_0603_HandSoldering";2;"2k";;;
14;"R2,R3,R7";"R_0603_HandSoldering";3;"470";;;
15;"R4,R12";"R_0603_HandSoldering";2;"1k";;;
16;"R6";"R_0603_HandSoldering";1;"220";;;
17;"R8,R9,R10,R11,R13,R14,R15,R16";"R_0603_HandSoldering";8;"10k";;;
18;"S1";"Switch_Slide_11.6x4mm_EG1218";1;"ON/OFF";;;
19;"S2";"Switch_Slide_11.6x4mm_EG1218";1;"BOOT/FLASH";;;
20;"SW1";"SW_PUSH_6mm_h5mm";1;"A";;;
21;"SW2";"SW_PUSH_6mm_h5mm";1;"B";;;
22;"U1";"SOT-23-5";1;"MCP73831T-2ACI_OT";;;
23;"U2";"SOT-223";1;"LD1117V33";;;
24;"U3";"Nokia_5110-3310_LCD";1;"Nokia_5110_LCD";;;
25;"U4";"ESP-12E";1;"ESP-12F";;;
26;"REF**";"MountingHole_3mm";1;"MountingHole_3mm";;;
